Date,XOM.Model_Return,XOM.Benchmark_Return
2018-01-08,0.00399567699059844,0.004495677233429474
2018-01-09,-0.004246040713042021,-0.004246040853798538
2018-01-10,0.006952056661248207,-0.007952057162613824
2018-01-11,-0.008613614365458488,0.009874535315985256
2018-01-12,-0.006854322738945484,0.006787070056367028
2018-01-16,-0.0010594120249152184,-0.006284277879341826
2018-01-17,0.011259403079748154,0.011843164309532028
2018-01-18,-0.00185255310498178,-0.006477272727272609
2018-01-19,0.0002982292789965868,-0.0032025620496397567
2018-01-22,0.0035565895959734917,0.012621916236374098
2018-01-23,-0.00016846290964167565,0.0005665722379604166
2018-01-24,-0.003096027998253703,0.002604756511891404
2018-01-25,-0.002043962012976408,-0.0018072969614819634
2018-01-26,-0.001989808166399598,0.007129116215910392
2018-01-29,0.0063180141150951385,-0.011123595505617923
2018-01-30,0.009245524182915688,-0.01397568458129761
2018-01-31,-0.006159963086247444,0.005992164093108876
2018-02-01,-0.018720638006925583,0.020274914089347007
2018-02-02,0.05093184858560562,-0.05097114628943522
2018-02-05,-0.031736090779304504,-0.05690287471903466
2018-02-06,0.016413070261478424,-0.017185148018063257
2018-02-07,0.01799617148935795,-0.017996171027440888
2018-02-08,-0.0008392469026148319,-0.011307512347283666
2018-02-09,-0.0031014326959848404,-0.003812278164848082
2018-02-12,-0.009306770749390125,0.008445500131960992
2018-02-13,0.001022433047182858,-0.0015702695629417063
2018-02-14,-0.002229296136647463,0.0020969855832240203
2018-02-15,0.002079356461763382,-0.003269683494637743
2018-02-16,0.0022341907024383545,0.004330140401522353
2018-02-20,-0.010485080070793629,-0.01032140057486286
2018-02-21,-0.003176875412464142,-0.011353135313531326
2018-02-22,-0.013575653545558453,0.012952330084123442
2018-02-23,-0.018533581867814064,0.022014236751911387
2018-02-26,0.004822630900889635,0.016896685154133895
2018-02-27,-0.012251856736838818,-0.016996448503297845
2018-02-28,-0.006149352993816137,-0.022709677419354923
2018-03-01,-0.0074992007575929165,-0.007129654079746417
2018-03-02,0.0013084416277706623,0.00465425531914887
2018-03-05,0.0049697235226631165,0.009530112508272737
2018-03-06,-0.0007538063218817115,-0.0011800183558409172
2018-03-07,-0.010565746575593948,-0.025203465476502984
2018-03-08,-0.0021775562781840563,-0.0018852679773767589
2018-03-09,0.0015360118122771382,0.005936319481921082
2018-03-12,0.0029285410419106483,0.009120171673819621
2018-03-13,0.008775778114795685,-0.009436469962785687
2018-03-14,-0.004430088680237532,-0.012478196699315824
2018-03-15,0.010792715474963188,0.01114130434782612
2018-03-16,0.0004965764237567782,0.00940607363611945
2018-03-19,-0.013362371362745762,-0.012912673056443058
2018-03-20,0.0007383347838185728,-0.002157788267026395
2018-03-21,0.005730018485337496,0.014191106906338957
2018-03-22,0.0197994876652956,-0.020522388059701524
2018-03-23,-0.0015114396810531616,-0.008299319727891108
2018-03-26,-0.0006676123011857271,0.015228426395939021
2018-03-27,0.0031956813763827085,-0.004054054054054013
2018-03-28,0.012022837996482849,-0.012075983717774741
2018-03-29,-0.0004817129229195416,0.024721878862793423
2018-04-02,0.002466019708663225,-0.018630210427556637
2018-04-03,0.020059704780578613,0.024583447145588577
2018-04-04,0.001081592170521617,-0.0019994668088508805
2018-04-05,0.011320135556161404,0.015359957259249324
2018-04-06,0.000678620592225343,-0.015127598000526099
2018-04-09,-0.0002765099052339792,0.0
2018-04-10,-0.030123984441161156,0.029384266061172504
2018-04-11,-0.00467107817530632,0.004671078240560789
2018-04-12,0.0027121270541101694,-0.0027121270825262167
2018-04-13,-0.005993223283439875,0.008029008029008189
2018-04-16,-0.005882464814931154,0.008992805755395628
2018-04-17,0.0022763595916330814,-0.002673796791443972
2018-04-18,0.005887278355658054,0.011362185624920196
2018-04-19,-0.0006905504269525409,0.002524614996213037
2018-04-20,0.004223471041768789,-0.00528834046839588
2018-04-23,0.000976302835624665,0.007215189873417627
2018-04-24,0.014727394096553326,-0.015332411712957184
2018-04-25,0.0009533873526379466,0.014677728142948432
2018-04-26,-0.012402981519699097,0.017106918238993796
2018-04-27,0.03781761974096298,-0.03796685629483054
2018-04-30,-0.0015142050106078386,-0.0005142049106570123
2018-05-01,0.004754789173603058,-0.01028938906752408
2018-05-02,0.0010923543013632298,-0.0019493177387914784
2018-05-03,-0.001471392228268087,-0.0033854166666665853
2018-05-04,2.3444677935913205e-05,0.004703423046772848
2018-05-07,0.0008166805491782725,0.010923276983094699
2018-05-08,0.0023960669059306383,0.004502186776434325
2018-05-09,0.004889396019279957,0.02356255602509938
2018-05-10,-0.009167712181806564,0.02239459527086196
2018-05-11,0.004204371478408575,-0.005384238864415081
2018-05-14,0.005856585688889027,0.006766732283464583
2018-05-15,-0.0004941701190546155,-0.0004888182818036935
2018-05-16,0.0025727676693350077,0.0028120797163466715
2018-05-17,0.00021113257389515638,-0.0017069007559131766
2018-05-18,-0.00416663009673357,-0.007083536883243702
2018-05-21,0.0013717758702114224,0.01205412054120547
2018-05-22,-0.00821351632475853,-0.007778317938745727
2018-05-23,-0.003481273539364338,0.006246937775600259
2018-05-24,-0.004366125445812941,-0.022884966524650108
2018-05-25,0.010054304264485836,-0.019434408870063535
2018-05-29,-0.0020699019078165293,-0.003684411129462495
2018-06-06,-0.047132059931755066,0.04641673042591177
2018-06-07,-0.006889077834784985,0.00999268827687061
2018-06-08,0.005100694485008717,0.008687258687258614
2018-06-12,-0.005064754281193018,-0.01411483253588508
2018-06-13,-0.004886208567768335,-0.011041009463722329
2018-06-14,-0.0053812237456440926,0.004662004662004504
