Date,CVS.Model_Return,CVS.Benchmark_Return
2018-01-08,0.002523603616282344,-0.008667941363926124
2018-01-09,-0.0002896234509535134,-0.0010286742960009532
2018-01-10,-0.00200643390417099,-0.0032179173638821057
2018-01-11,-0.02117867022752762,0.020402892561983466
2018-01-12,0.0018166278023272753,-0.0030372057706908873
2018-01-16,-0.008550294674932957,0.008377760853008231
2018-01-17,-0.0007552870083600283,0.0007552870090634656
2018-01-18,0.0018867924809455872,-0.0018867924528302993
2018-01-19,0.0021715452894568443,0.006427221172022657
2018-01-22,0.004927242640405893,0.013648885549712109
2018-01-23,0.002924335189163685,-0.006300185299567662
2018-01-24,-0.006199394352734089,0.005967180507210346
2018-01-25,-0.008156203664839268,0.00815620365793368
2018-01-26,-0.00527089973911643,0.0052708997303261285
2018-01-29,-0.014879235066473484,0.019753688574563943
2018-01-30,0.04100697860121727,-0.04113356451034311
2018-01-31,0.003982875030487776,-0.018705574261129843
2018-02-01,-0.0008661511237733066,0.0012708095056552793
2018-02-02,0.0021239437628537416,-0.029699200406142934
2018-02-05,-0.04148155450820923,-0.04094179202092885
2018-02-06,-0.009979126043617725,0.009547190398254246
2018-02-07,-0.0026416783221066,0.00445825452580384
2018-02-08,0.021203378215432167,-0.051109616677874836
2018-02-09,0.00166255421936512,-0.016442239546420878
2018-02-12,0.0037327343598008156,0.006917423259835687
2018-02-13,0.0008193671237677336,0.003434950622584809
2018-02-14,-0.004117082804441452,-0.004564256168877345
2018-02-15,0.009950555860996246,0.010030090270812364
2018-02-16,-0.010931229218840599,0.020002837281884123
2018-02-20,-0.010397299192845821,-0.01724617524339378
2018-02-21,-0.02453150600194931,-0.026889329181998156
2018-02-22,0.010099891573190689,-0.011052937754508552
2018-02-23,-0.002352941082790494,0.0023529411764704466
2018-02-26,-0.0010269952472299337,0.0010269953051644798
2018-02-27,-0.0003771768242586404,0.00029312619082499936
2018-02-28,-0.008415902964770794,-0.007619047619047525
2018-03-01,-0.0078011066652834415,-0.008563413553816623
2018-03-02,0.0031066143419593573,0.004616530156366094
2018-03-05,-0.0016313245287165046,0.012600059294396893
2018-03-06,0.0028597405180335045,-0.009661835748792202
2018-03-07,-0.00034282522392459214,-0.0020694752402069527
2018-03-08,0.012127588503062725,0.012590727299659266
2018-03-09,-0.006906602066010237,0.013311878291398349
2018-03-12,0.0001907583646243438,-0.003753428612674914
2018-03-13,-0.0062939440831542015,-0.011012896681640405
2018-03-14,-0.006609924137592316,-0.01758241758241763
2018-03-15,0.017062416300177574,-0.017747949291573417
2018-03-16,0.0010608532465994358,-0.0031885818402671573
2018-03-19,-0.009987971745431423,-0.03076923076923077
2018-03-20,-0.011187615804374218,-0.01084394153701096
2018-03-21,-0.00826183706521988,-0.008261836669844258
2018-03-22,-0.003930520731955767,-0.010092918936238426
2018-03-23,-0.003090938087552786,-0.015050979122835373
2018-03-26,0.011759120039641857,0.01215905356556024
2018-03-27,-0.016233766451478004,-0.016233766233766267
2018-03-28,0.009220518171787262,0.0348184818481847
2018-03-29,-0.007678374648094177,-0.007973210014351806
2018-04-02,-0.018846048042178154,-0.018807265712907917
2018-04-03,0.00973042193800211,0.025229357798165042
2018-04-04,-0.027864037081599236,0.027165228507510353
2018-04-05,-0.0034489568788558245,0.005911636589919
2018-04-06,-0.020568320527672768,-0.01979585524280847
2018-04-09,-0.0004739924625027925,-0.0011044493531082722
2018-04-10,-0.0014372311998158693,0.010424893381772105
2018-04-11,0.013635857962071896,-0.014069094888228828
2018-04-12,0.013745520263910294,0.014745520849849258
2018-04-13,-0.008906249888241291,-0.008906250000000004
2018-04-16,-0.043093644082546234,0.042093646539492324
2018-04-17,-0.010937811806797981,0.015279878971255823
2018-04-18,-0.0029682002495974302,-0.00745045447772319
2018-04-19,0.003990917466580868,-0.011259570635039795
2018-04-20,0.010208060964941978,-0.011235955056179692
2018-04-23,0.006770274601876736,0.008599508599508532
2018-04-24,0.012941524386405945,0.014007308160779441
2018-04-25,-0.0068191904574632645,0.0169669669669672
2018-04-26,0.009507887065410614,0.01417392588217914
2018-04-27,-0.015220297500491142,0.018343281409229917
2018-04-30,0.0016099747736006975,-0.0017155110793424244
2018-05-01,0.00990248005837202,-0.02620650150365167
2018-05-02,0.027057744562625885,-0.030294117647058805
2018-05-03,0.05560746788978577,-0.0556566575674855
2018-05-04,-0.01332905050367117,0.013329050907338935
2018-05-07,0.009980900213122368,-0.021394611727416857
2018-05-08,-0.009382880292832851,-0.01684210526315788
2018-05-09,0.007999497465789318,0.008235875473562748
2018-05-10,0.01717057265341282,0.02009475575886288
2018-05-11,-0.03247929364442825,0.03155028827674555
2018-05-14,-0.037416551262140274,0.03741655022512025
2018-05-15,0.007472928147763014,-0.01466626758455536
2018-05-16,-0.004641766659915447,0.004404617253948917
2018-05-17,0.005595040041953325,-0.0055950400725841565
2018-05-18,0.012773722410202026,-0.012773722627737238
2018-05-21,-0.007369661703705788,0.008934072704867457
2018-05-22,0.000655772106256336,0.001832061068702373
2018-05-23,-0.0004453508881852031,-0.0007619628162147674
2018-05-24,0.0022821708116680384,-0.006862894616440296
2018-05-25,0.013287917710840702,0.013974201474201475
2018-05-29,-0.018627896904945374,-0.01862789641072249
2018-05-30,-0.019364196807146072,0.018364197530864157
2018-06-06,0.013789968565106392,-0.013789968176996514
2018-06-07,-0.001921942224726081,-0.0009219422249538978
2018-06-08,0.004475837107747793,0.015533681944017275
2018-06-11,-0.014436783269047737,0.01378161441768877
2018-06-12,0.00697401212528348,-0.008813863161039825
